index_IDP,index,measure,acronym,hemi,description
25488-2.0,1,weighted_fa,AR,L,Weighted-mean FA in tract acoustic radiation (left)
25489-2.0,2,weighted_fa,AR,R,Weighted-mean FA in tract acoustic radiation (right)
25490-2.0,3,weighted_fa,ATR,L,Weighted-mean FA in tract anterior thalamic radiation (left)
25491-2.0,4,weighted_fa,ATR,R,Weighted-mean FA in tract anterior thalamic radiation (right)
25492-2.0,5,weighted_fa,CCG,L,Weighted-mean FA in tract cingulate gyrus part of cingulum (left)
25493-2.0,6,weighted_fa,CCG,R,Weighted-mean FA in tract cingulate gyrus part of cingulum (right)
25494-2.0,7,weighted_fa,PrCing,L,Weighted-mean FA in tract parahippocampal part of cingulum (left)
25495-2.0,8,weighted_fa,PrCing,R,Weighted-mean FA in tract parahippocampal part of cingulum (right)
25496-2.0,9,weighted_fa,CST,L,Weighted-mean FA in tract corticospinal tract (left)
25497-2.0,10,weighted_fa,CST,R,Weighted-mean FA in tract corticospinal tract (right)
25498-2.0,11,weighted_fa,FMaj,B,Weighted-mean FA in tract forceps major
25499-2.0,12,weighted_fa,FMin,B,Weighted-mean FA in tract forceps minor
25500-2.0,13,weighted_fa,IFOF,L,Weighted-mean FA in tract inferior fronto-occipital fasciculus (left)
25501-2.0,14,weighted_fa,IFOF,R,Weighted-mean FA in tract inferior fronto-occipital fasciculus (right)
25502-2.0,15,weighted_fa,ILF,L,Weighted-mean FA in tract inferior longitudinal fasciculus (left)
25503-2.0,16,weighted_fa,ILF,R,Weighted-mean FA in tract inferior longitudinal fasciculus (right)
25504-2.0,17,weighted_fa,MCP,B,Weighted-mean FA in tract middle cerebellar peduncle
25505-2.0,18,weighted_fa,ML,L,Weighted-mean FA in tract medial lemniscus (left)
25506-2.0,19,weighted_fa,ML,R,Weighted-mean FA in tract medial lemniscus (right)
25507-2.0,20,weighted_fa,PTR,L,Weighted-mean FA in tract posterior thalamic radiation (left)
25508-2.0,21,weighted_fa,PTR,R,Weighted-mean FA in tract posterior thalamic radiation (right)
25509-2.0,22,weighted_fa,SLF,L,Weighted-mean FA in tract superior longitudinal fasciculus (left)
25510-2.0,23,weighted_fa,SLF,R,Weighted-mean FA in tract superior longitudinal fasciculus (right)
25511-2.0,24,weighted_fa,STR,L,Weighted-mean FA in tract superior thalamic radiation (left)
25512-2.0,25,weighted_fa,STR,R,Weighted-mean FA in tract superior thalamic radiation (right)
25513-2.0,26,weighted_fa,UF,L,Weighted-mean FA in tract uncinate fasciculus (left)
25514-2.0,27,weighted_fa,UF,R,Weighted-mean FA in tract uncinate fasciculus (right)
25515-2.0,1,weighted_md,AR,L,Weighted-mean MD in tract acoustic radiation (left)
25516-2.0,2,weighted_md,AR,R,Weighted-mean MD in tract acoustic radiation (right)
25517-2.0,3,weighted_md,ATR,L,Weighted-mean MD in tract anterior thalamic radiation (left)
25518-2.0,4,weighted_md,ATR,R,Weighted-mean MD in tract anterior thalamic radiation (right)
25519-2.0,5,weighted_md,CCG,L,Weighted-mean MD in tract cingulate gyrus part of cingulum (left)
25520-2.0,6,weighted_md,CCG,R,Weighted-mean MD in tract cingulate gyrus part of cingulum (right)
25521-2.0,7,weighted_md,PrCing,L,Weighted-mean MD in tract parahippocampal part of cingulum (left)
25522-2.0,8,weighted_md,PrCing,R,Weighted-mean MD in tract parahippocampal part of cingulum (right)
25523-2.0,9,weighted_md,CST,L,Weighted-mean MD in tract corticospinal tract (left)
25524-2.0,10,weighted_md,CST,R,Weighted-mean MD in tract corticospinal tract (right)
25525-2.0,11,weighted_md,FMaj,B,Weighted-mean MD in tract forceps major
25526-2.0,12,weighted_md,FMin,B,Weighted-mean MD in tract forceps minor
25527-2.0,13,weighted_md,IFOF,L,Weighted-mean MD in tract inferior fronto-occipital fasciculus (left)
25528-2.0,14,weighted_md,IFOF,R,Weighted-mean MD in tract inferior fronto-occipital fasciculus (right)
25529-2.0,15,weighted_md,ILF,L,Weighted-mean MD in tract inferior longitudinal fasciculus (left)
25530-2.0,16,weighted_md,ILF,R,Weighted-mean MD in tract inferior longitudinal fasciculus (right)
25531-2.0,17,weighted_md,MCP,B,Weighted-mean MD in tract middle cerebellar peduncle
25532-2.0,18,weighted_md,ML,L,Weighted-mean MD in tract medial lemniscus (left)
25533-2.0,19,weighted_md,ML,R,Weighted-mean MD in tract medial lemniscus (right)
25534-2.0,20,weighted_md,PTR,L,Weighted-mean MD in tract posterior thalamic radiation (left)
25535-2.0,21,weighted_md,PTR,R,Weighted-mean MD in tract posterior thalamic radiation (right)
25536-2.0,22,weighted_md,SLF,L,Weighted-mean MD in tract superior longitudinal fasciculus (left)
25537-2.0,23,weighted_md,SLF,R,Weighted-mean MD in tract superior longitudinal fasciculus (right)
25538-2.0,24,weighted_md,STR,L,Weighted-mean MD in tract superior thalamic radiation (left)
25539-2.0,25,weighted_md,STR,R,Weighted-mean MD in tract superior thalamic radiation (right)
25540-2.0,26,weighted_md,UF,L,Weighted-mean MD in tract uncinate fasciculus (left)
25541-2.0,27,weighted_md,UF,R,Weighted-mean MD in tract uncinate fasciculus (right)
25542-2.0,1,weighted_mo,AR,L,Weighted-mean MO in tract acoustic radiation (left)
25543-2.0,2,weighted_mo,AR,R,Weighted-mean MO in tract acoustic radiation (right)
25544-2.0,3,weighted_mo,ATR,L,Weighted-mean MO in tract anterior thalamic radiation (left)
25545-2.0,4,weighted_mo,ATR,R,Weighted-mean MO in tract anterior thalamic radiation (right)
25546-2.0,5,weighted_mo,CCG,L,Weighted-mean MO in tract cingulate gyrus part of cingulum (left)
25547-2.0,6,weighted_mo,CCG,R,Weighted-mean MO in tract cingulate gyrus part of cingulum (right)
25548-2.0,7,weighted_mo,PrCing,L,Weighted-mean MO in tract parahippocampal part of cingulum (left)
25549-2.0,8,weighted_mo,PrCing,R,Weighted-mean MO in tract parahippocampal part of cingulum (right)
25550-2.0,9,weighted_mo,CST,L,Weighted-mean MO in tract corticospinal tract (left)
25551-2.0,10,weighted_mo,CST,R,Weighted-mean MO in tract corticospinal tract (right)
25552-2.0,11,weighted_mo,FMaj,B,Weighted-mean MO in tract forceps major
25553-2.0,12,weighted_mo,FMin,B,Weighted-mean MO in tract forceps minor
25554-2.0,13,weighted_mo,IFOF,L,Weighted-mean MO in tract inferior fronto-occipital fasciculus (left)
25555-2.0,14,weighted_mo,IFOF,R,Weighted-mean MO in tract inferior fronto-occipital fasciculus (right)
25556-2.0,15,weighted_mo,ILF,L,Weighted-mean MO in tract inferior longitudinal fasciculus (left)
25557-2.0,16,weighted_mo,ILF,R,Weighted-mean MO in tract inferior longitudinal fasciculus (right)
25558-2.0,17,weighted_mo,MCP,B,Weighted-mean MO in tract middle cerebellar peduncle
25559-2.0,18,weighted_mo,ML,L,Weighted-mean MO in tract medial lemniscus (left)
25560-2.0,19,weighted_mo,ML,R,Weighted-mean MO in tract medial lemniscus (right)
25561-2.0,20,weighted_mo,PTR,L,Weighted-mean MO in tract posterior thalamic radiation (left)
25562-2.0,21,weighted_mo,PTR,R,Weighted-mean MO in tract posterior thalamic radiation (right)
25563-2.0,22,weighted_mo,SLF,L,Weighted-mean MO in tract superior longitudinal fasciculus (left)
25564-2.0,23,weighted_mo,SLF,R,Weighted-mean MO in tract superior longitudinal fasciculus (right)
25565-2.0,24,weighted_mo,STR,L,Weighted-mean MO in tract superior thalamic radiation (left)
25566-2.0,25,weighted_mo,STR,R,Weighted-mean MO in tract superior thalamic radiation (right)
25567-2.0,26,weighted_mo,UF,L,Weighted-mean MO in tract uncinate fasciculus (left)
25568-2.0,27,weighted_mo,UF,R,Weighted-mean MO in tract uncinate fasciculus (right)
25650-2.0,1,weighted_icvf,AR,L,Weighted-mean ICVF in tract acoustic radiation (left)
25651-2.0,2,weighted_icvf,AR,R,Weighted-mean ICVF in tract acoustic radiation (right)
25652-2.0,3,weighted_icvf,ATR,L,Weighted-mean ICVF in tract anterior thalamic radiation (left)
25653-2.0,4,weighted_icvf,ATR,R,Weighted-mean ICVF in tract anterior thalamic radiation (right)
25654-2.0,5,weighted_icvf,CCG,L,Weighted-mean ICVF in tract cingulate gyrus part of cingulum (left)
25655-2.0,6,weighted_icvf,CCG,R,Weighted-mean ICVF in tract cingulate gyrus part of cingulum (right)
25656-2.0,7,weighted_icvf,PrCing,L,Weighted-mean ICVF in tract parahippocampal part of cingulum (left)
25657-2.0,8,weighted_icvf,PrCing,R,Weighted-mean ICVF in tract parahippocampal part of cingulum (right)
25658-2.0,9,weighted_icvf,CST,L,Weighted-mean ICVF in tract corticospinal tract (left)
25659-2.0,10,weighted_icvf,CST,R,Weighted-mean ICVF in tract corticospinal tract (right)
25660-2.0,11,weighted_icvf,FMaj,B,Weighted-mean ICVF in tract forceps major
25661-2.0,12,weighted_icvf,FMin,B,Weighted-mean ICVF in tract forceps minor
25662-2.0,13,weighted_icvf,IFOF,L,Weighted-mean ICVF in tract inferior fronto-occipital fasciculus (left)
25663-2.0,14,weighted_icvf,IFOF,R,Weighted-mean ICVF in tract inferior fronto-occipital fasciculus (right)
25664-2.0,15,weighted_icvf,ILF,L,Weighted-mean ICVF in tract inferior longitudinal fasciculus (left)
25665-2.0,16,weighted_icvf,ILF,R,Weighted-mean ICVF in tract inferior longitudinal fasciculus (right)
25666-2.0,17,weighted_icvf,MCP,B,Weighted-mean ICVF in tract middle cerebellar peduncle
25667-2.0,18,weighted_icvf,ML,L,Weighted-mean ICVF in tract medial lemniscus (left)
25668-2.0,19,weighted_icvf,ML,R,Weighted-mean ICVF in tract medial lemniscus (right)
