hemi,region,side,label,index
left,Frontal Pole,lateral,lh_Frontal.Pole,1
left,Frontal Pole,medial,lh_Frontal.Pole,1
right,Frontal Pole,medial,rh_Frontal.Pole,2
right,Frontal Pole,lateral,rh_Frontal.Pole,2
left,Insular Cortex,lateral,lh_Insular.Cortex,3
right,Insular Cortex,lateral,rh_Insular.Cortex,4
left,Sup. Frontal Gyrus,lateral,lh_Superior.Frontal.Gyrus,5
left,Sup. Frontal Gyrus,medial,lh_Superior.Frontal.Gyrus,5
right,Sup. Frontal Gyrus,medial,rh_Superior.Frontal.Gyrus,6
right,Sup. Frontal Gyrus,lateral,rh_Superior.Frontal.Gyrus,6
left,Mid. Frontal Gyrus,lateral,lh_Middle.Frontal.Gyrus,7
right,Mid. Frontal Gyrus,lateral,rh_Middle.Frontal.Gyrus,8
left,Inf. Frontal Gyrus pars triangularis,lateral,lh_Inferior.Frontal.Gyrus..pars.triangularis,9
right,Inf. Frontal Gyrus pars triangularis,lateral,rh_Inferior.Frontal.Gyrus..pars.triangularis,10
left,Inf. Frontal Gyrus pars opercularis,lateral,lh_Inferior.Frontal.Gyrus..pars.opercularis,11
right,Inf. Frontal Gyrus pars opercularis,lateral,rh_Inferior.Frontal.Gyrus..pars.opercularis,12
left,Precentral Gyrus,lateral,lh_Precentral.Gyrus,13
left,Precentral Gyrus,medial,lh_Precentral.Gyrus,13
right,Precentral Gyrus,medial,rh_Precentral.Gyrus,14
right,Precentral Gyrus,lateral,rh_Precentral.Gyrus,14
left,Temporal Pole,lateral,lh_Temporal.Pole,15
left,Temporal Pole,medial,lh_Temporal.Pole,15
right,Temporal Pole,medial,rh_Temporal.Pole,16
right,Temporal Pole,lateral,rh_Temporal.Pole,16
left,Sup. Temporal Gyrus ant.,lateral,lh_Superior.Temporal.Gyrus..anterior.division,17
right,Sup. Temporal Gyrus ant.,lateral,rh_Superior.Temporal.Gyrus..anterior.division,18
left,Sup. Temporal Gyrus post.,lateral,lh_Superior.Temporal.Gyrus..posterior.division,19
right,Sup. Temporal Gyrus post.,lateral,rh_Superior.Temporal.Gyrus..posterior.division,20
left,Mid. Temporal Gyrus ant.,lateral,lh_Middle.Temporal.Gyrus..anterior.division,21
right,Mid. Temporal Gyrus ant.,lateral,rh_Middle.Temporal.Gyrus..anterior.division,22
left,Mid. Temporal Gyrus post.,lateral,lh_Middle.Temporal.Gyrus..posterior.division,23
right,Mid. Temporal Gyrus post.,lateral,rh_Middle.Temporal.Gyrus..posterior.division,24
left,Mid. Temporal Gyrus temporooccipital,lateral,lh_Middle.Temporal.Gyrus..temporooccipital.part,25
right,Mid. Temporal Gyrus temporooccipital,lateral,rh_Middle.Temporal.Gyrus..temporooccipital.part,26
left,Inf. Temporal Gyrus ant.,lateral,lh_Inferior.Temporal.Gyrus..anterior.division,27
right,Inf. Temporal Gyrus ant.,lateral,rh_Inferior.Temporal.Gyrus..anterior.division,28
left,Inf. Temporal Gyrus post.,lateral,lh_Inferior.Temporal.Gyrus..posterior.division,29
left,Inf. Temporal Gyrus post.,medial,lh_Inferior.Temporal.Gyrus..posterior.division,29
right,Inf. Temporal Gyrus post.,lateral,rh_Inferior.Temporal.Gyrus..posterior.division,30
left,Inf. Temporal Gyrus temporooccipital,lateral,lh_Inferior.Temporal.Gyrus..temporooccipital.part,31
right,Inf. Temporal Gyrus temporooccipital,lateral,rh_Inferior.Temporal.Gyrus..temporooccipital.part,32
left,Postcentral Gyrus,lateral,lh_Postcentral.Gyrus,33
left,Postcentral Gyrus,medial,lh_Postcentral.Gyrus,33
right,Postcentral Gyrus,medial,rh_Postcentral.Gyrus,34
right,Postcentral Gyrus,lateral,rh_Postcentral.Gyrus,34
left,Sup. Parietal Lobule,lateral,lh_Superior.Parietal.Lobule,35
left,Sup. Parietal Lobule,medial,lh_Superior.Parietal.Lobule,35
right,Sup. Parietal Lobule,medial,rh_Superior.Parietal.Lobule,36
right,Sup. Parietal Lobule,lateral,rh_Superior.Parietal.Lobule,36
left,Supramarginal Gyrus ant.,lateral,lh_Supramarginal.Gyrus..anterior.division,37
right,Supramarginal Gyrus ant.,lateral,rh_Supramarginal.Gyrus..anterior.division,38
left,Supramarginal Gyrus post.,lateral,lh_Supramarginal.Gyrus..posterior.division,39
right,Supramarginal Gyrus post.,lateral,rh_Supramarginal.Gyrus..posterior.division,40
left,Angular Gyrus,lateral,lh_Angular.Gyrus,41
right,Angular Gyrus,lateral,rh_Angular.Gyrus,42
left,Lat. Occipital Cortex superior,lateral,lh_Lateral.Occipital.Cortex..superior.division,43
left,Lat. Occipital Cortex superior,medial,lh_Lateral.Occipital.Cortex..superior.division,43
right,Lat. Occipital Cortex superior,medial,rh_Lateral.Occipital.Cortex..superior.division,44
right,Lat. Occipital Cortex superior,lateral,rh_Lateral.Occipital.Cortex..superior.division,44
left,Lat. Occipital Cortex inf.,lateral,lh_Lateral.Occipital.Cortex..inferior.division,45
